match_id,date,venue,team1,team2,stage,toss_winner,toss_decision,first_ings_score,first_ings_wkts,second_ings_score,second_ings_wkts,match_result,match_winner,wb_runs,wb_wickets,balls_left,player_of_the_match,top_scorer,highscore,best_bowling,best_bowling_figure,match_no,total_runs_off_bat,total_extras,total_wides,total_noballs,total_wickets
13,"April 01,2025","Ekana Cricket Stadium, Lucknow",LSG,PBKS,League,PBKS,Bowl,171.0,7.0,177.0,2.0,completed,PBKS,,8,22.0,Prabhsimran Singh,Prabhsimran Singh,69.0,Arshdeep Singh,3--43,13,336.0,12.0,7.0,0.0,9.0
14,"April 02,2025","M. Chinnaswamy Stadium, Bangalore",RCB,GT,League,GT,Bowl,169.0,8.0,170.0,2.0,completed,GT,,8,13.0,Mohammed Siraj,Jos Buttler,73.0,Mohammed Siraj,3--19,14,328.0,11.0,4.0,0.0,10.0
15,"April 03,2025","Eden Gardens, Kolkata",KKR,SRH,League,SRH,Bowl,200.0,6.0,120.0,10.0,completed,KKR,80,,20.0,Vaibhav Arora,Venkatesh Iyer,60.0,Varun Chakravarthy,3--22,15,301.0,19.0,8.0,0.0,16.0
16,"April 04,2025","Ekana Cricket Stadium, Lucknow",LSG,MI,League,MI,Bowl,203.0,8.0,191.0,5.0,completed,LSG,12,,0.0,Digvesh Singh,Suryakumar Yadav,67.0,Hardik Pandya,5--36,16,378.0,16.0,12.0,0.0,13.0
17,"April 05,2025","MA Chidambaram Stadium, Chennai",CSK,DC,League,DC,Bat,183.0,6.0,158.0,5.0,completed,DC,25,,0.0,KL Rahul,KL Rahul,77.0,Khaleel Ahmed,2--25,17,317.0,24.0,9.0,2.0,11.0
18,"April 05,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RR,League,PBKS,Bowl,205.0,4.0,155.0,9.0,completed,RR,50,,0.0,Jofra Archer,Yashasvi Jaiswal,67.0,Jofra Archer,3--25,18,333.0,25.0,11.0,0.0,13.0
19,"April 06,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,GT,League,GT,Bowl,152.0,8.0,153.0,3.0,completed,GT,,7,20.0,Mohammed Siraj,Shubman Gill,61.0,Mohammed Siraj,4--17,19,298.0,7.0,5.0,0.0,11.0
20,"April 07,2025","Wankhede Stadium, Mumbai",MI,RCB,League,MI,Bowl,221.0,5.0,209.0,9.0,completed,RCB,12,,0.0,Rajat Patidar,Virat Kohli,67.0,Krunal Pandya,4--45,20,415.0,14.0,12.0,0.0,14.0
21,"April 08,2025","Eden Gardens, Kolkata",KKR,LSG,League,KKR,Bowl,238.0,3.0,234.0,7.0,completed,LSG,4,,0.0,Nicholas Pooran,Nicholas Pooran,87.0,Harshit Rana,2--51,21,437.0,29.0,18.0,0.0,10.0
22,"April 08,2025","New PCA Cricket Stadium, Mullanpur",PBKS,CSK,League,PBKS,Bat,219.0,6.0,201.0,5.0,completed,PBKS,18,,0.0,Priyansh Arya,Priyansh Arya,103.0,Lockie Ferguson,2--40,22,404.0,22.0,10.0,3.0,11.0
23,"April 09,2025","Narendra Modi Stadium, Ahmedabad",GT,RR,League,RR,Bowl,217.0,6.0,159.0,10.0,completed,GT,58,,4.0,Sai Sudarshan,Sai Sudarshan,82.0,Prasidh Krishna,3--24,23,349.0,26.0,23.0,0.0,16.0
24,"April 10,2025","M. Chinnaswamy Stadium, Bangalore",RCB,DC,League,DC,Bowl,163.0,7.0,169.0,4.0,completed,DC,,6,13.0,KL Rahul,KL Rahul,93.0,Kuldeep Yadav,2--17,24,310.0,21.0,7.0,1.0,11.0
25,"April 11,2025","MA Chidambaram Stadium, Chennai",CSK,KKR,League,KKR,Bowl,103.0,9.0,107.0,2.0,completed,KKR,,8,59.0,Sunil Narine,Sunil Narine,44.0,Sunil Narine,3--13,25,200.0,10.0,6.0,2.0,11.0
26,"April 12,2025","Ekana Cricket Stadium, Lucknow",LSG,GT,League,LSG,Bowl,180.0,6.0,186.0,4.0,completed,LSG,,6,3.0,Aiden Markram,Nicholas Pooran,61.0,Prasidh Krishna,2--26,26,348.0,18.0,12.0,0.0,10.0
27,"April 12,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,PBKS,League,PBKS,Bat,245.0,6.0,247.0,2.0,completed,SRH,,8,9.0,Abhishek Sharma,Abhishek Sharma,141.0,Harshal Patel,4--42,27,468.0,24.0,16.0,1.0,8.0
28,"April 13,2025","Sawai Mansingh Stadium, Jaipur",RR,RCB,League,RCB,Bowl,173.0,4.0,175.0,1.0,completed,RCB,,9,15.0,Phil Salt,Yashasvi Jaiswal,75.0,Krunal Pandya,1--29,28,335.0,13.0,7.0,1.0,5.0
29,"April 13,2025","Arun Jaitley Stadium, Delhi",DC,MI,League,DC,Bowl,205.0,5.0,193.0,10.0,completed,DC,12,,6.0,Karn Sharma,Karun Nair,89.0,Karn Sharma,3--36,29,379.0,19.0,9.0,0.0,15.0
30,"April 14,2025","Ekana Cricket Stadium, Lucknow",LSG,CSK,League,CSK,Bowl,166.0,7.0,168.0,5.0,completed,CSK,,5,3.0,MS Dhoni,Rishabh Pant,63.0,Ravi Bishnoi,2--18,30,313.0,20.0,14.0,2.0,12.0
31,"April 15,2025","New PCA Cricket Stadium, Mullanpur",PBKS,KKR,League,PBKS,Bat,111.0,10.0,95.0,10.0,completed,PBKS,16,,29.0,Yuzvendra Chahal,Angkrish Raghuvanshi,37.0,Yuzvendra Chahal,4--28,31,196.0,10.0,4.0,0.0,20.0
32,"April 16,2025","Arun Jaitley Stadium, Delhi",DC,RR,League,RR,Bowl,188.0,5.0,188.0,4.0,completed,DC,super over,super over,0.0,Mitchell Starc,Nitish Rana,51.0,Jofra Archer,2--32,32,384.0,14.0,8.0,3.0,12.0
33,"April 17,2025","Wankhede Stadium, Mumbai",MI,SRH,League,MI,Bowl,162.0,5.0,166.0,6.0,completed,MI,,4,11.0,Will Jacks,Abhishek Sharma,40.0,Pat Cummins,3--36,33,313.0,15.0,11.0,2.0,11.0
34,"April 18,2025","M. Chinnaswamy Stadium, Bangalore",RCB,PBKS,League,PBKS,Bowl,95.0,9.0,98.0,5.0,completed,PBKS,,5,11.0,Tim David,Tim David,50.0,Josh Hazlewood,3--14,34,185.0,8.0,2.0,1.0,14.0
35,"April 19,2025","Narendra Modi Stadium, Ahmedabad",GT,DC,League,GT,Bowl,203.0,8.0,204.0,3.0,completed,GT,,7,4.0,Jos Buttler,Jos Buttler,97.0,Prasidh Krishna,4--41,35,385.0,20.0,11.0,1.0,11.0
36,"April 19,2025","Sawai Mansingh Stadium, Jaipur",RR,LSG,League,LSG,Bat,180.0,5.0,178.0,5.0,completed,LSG,2,,0.0,Avesh Khan,Yashasvi Jaiswal,74.0,Avesh Khan,3--37,36,347.0,11.0,6.0,0.0,10.0
37,"April 20,2025","New PCA Cricket Stadium, Mullanpur",PBKS,RCB,League,RCB,Bowl,157.0,6.0,159.0,3.0,completed,PBKS,,7,7.0,Virat Kohli,Virat Kohli,73.0,Krunal Pandya,2--25,37,310.0,6.0,4.0,0.0,9.0
38,"April 20,2025","Wankhede Stadium, Mumbai",MI,CSK,League,MI,Bowl,176.0,5.0,177.0,1.0,completed,MI,,9,26.0,Rohit Sharma,Rohit Sharma,76.0,Jasprit Bumrah,2--25,38,335.0,17.0,13.0,0.0,6.0
39,"April 21,2025","Eden Gardens, Kolkata",KKR,GT,League,KKR,Bowl,198.0,3.0,159.0,8.0,completed,GT,39,,0.0,Shubman Gill,Shubman Gill,90.0,Prasidh Krishna,2--25,39,343.0,14.0,8.0,1.0,11.0
40,"April 22,2025","Ekana Cricket Stadium, Lucknow",LSG,DC,League,DC,Bowl,159.0,6.0,161.0,2.0,completed,DC,,8,13.0,Mukesh Kumar,KL Rahul,57.0,Mukesh Kumar,4--33,40,315.0,5.0,4.0,0.0,8.0
41,"April 23,2025","Rajiv Gandhi International Stadium, Hyderabad",SRH,MI,League,SRH,Bowl,143.0,8.0,146.0,3.0,completed,MI,,7,26.0,Trent Boult,Heinrich Klassen,71.0,Trent Boult,4--26,41,284.0,5.0,4.0,0.0,11.0
42,"April 24,2025","M. Chinnaswamy Stadium, Bangalore",RCB,RR,League,RR,Bowl,205.0,5.0,194.0,9.0,completed,RCB,11,,0.0,Josh Hazlewood,Virat Kohli,70.0,Josh Hazlewood,4--33,42,379.0,20.0,13.0,0.0,14.0
43,"April 25,2025","MA Chidambaram Stadium, Chennai",CSK,SRH,League,SRH,Bowl,154.0,10.0,155.0,5.0,completed,SRH,,5,8.0,Harshal Patel,Ishan Kishan,44.0,Harshal Patel,4--28,43,287.0,22.0,9.0,4.0,15.0
44,"April 26,2025","Eden Gardens, Kolkata",KKR,PBKS,League,PBKS,Bat,201.0,4.0,7.0,0.0,tied,,,,114.0,,,,,,44,203.0,5.0,3.0,1.0,4.0
